incident id;report number;title;date published;date submitted;date modified;date downloaded;url;source domain;language;image;authors;submitters
10;23;"​Is Starbucks shortchanging its baristas?";"2015-09-23";"2019-05-31";"2020-06-13";"2019-04-12";"https://www.cbsnews.com/news/is-starbucks-shortchanging-its-baristas/";"cbsnews.com";"en";"https://cbsnews1.cbsistatic.com/hub/i/r/2015/03/17/01a38576-5108-40f7-8df8-5416164ed878/thumbnail/1200x630/ca8d35fe6bc065b5c9a747d92bc6d94c/154211248.jpg";"Aimee Picchi";"Catherine Olsson"
53;1351;"Bias already exists in search engine results, and it’s only going to get worse";"2018-02-25";"2020-12-06";"2020-12-06";"2020-11-05";"https://www.technologyreview.com/2018/02/26/3299/meet-the-woman-who-searches-out-search-engines-bias-against-women-and-minorities/";"technologyreview.com";"en";"https://wp.technologyreview.com/wp-content/uploads/2018/02/algorithmsofopression-7.png?resize=1200,600";"Jackie Snow";"Roman Lutz,CSET annotators"
10;22;"How Starbucks started taking their schedules seriously…and why you should too";"2015-12-31";"2019-05-31";"2020-06-13";"2019-04-12";"https://www.quinyx.com/blog/how-starbucks-started-taking-their-schedules-seriously-and-why-you-should-too";"quinyx.com";"en";"http://www.quinyx.com/hubfs/Blog/Images/starbucks-scheduling.png#keepProtocol";"Tommy Tonkins";"Catherine Olsson"
10;16;"Working Anything but 9 to 5";"2014-08-13";"2019-05-31";"2020-06-13";"2019-04-12";"https://www.nytimes.com/interactive/2014/08/13/us/starbucks-workers-scheduling-hours.html";"nytimes.com";"en";"https://static01.nyt.com/images/2014/08/13/us/worker-hours-1407960684740/worker-hours-1407960684740-articleLarge.jpg";"Jodi Kantor";"Catherine Olsson"
10;19;"The Seattle Times: Starbucks says its scheduling practices have improved";"2016-06-03";"2019-05-31";"2020-06-13";"2019-04-12";"http://www.fairworkweek.org/news-bedford/starbucks-schedule";"fairworkweek.org";"en";"http://static1.squarespace.com/static/556496efe4b02c9d26fdf26a/5564cf12e4b0e2aacd5c90bf/575d6f189f7266835093d178/1465776979746/5f134984-0e51-11e6-9acf-68c45ca472eb-1020x655.jpg?format=1500w";"Fair Workweek Initiative";"Catherine Olsson"
10;18;"\"I Hope That Howard Schultz Hears My Story\": A Starbucks Barista on Why He's Fighting for Fair Scheduling";"2015-11-11";"2019-05-31";"2020-06-13";"2019-04-12";"https://www.thestranger.com/blogs/slog/2015/11/12/23142113/i-hope-that-howard-schultz-hears-my-story-a-starbucks-barista-on-why-hes-fighting-for-fair-scheduling";"thestranger.com";"en";"placeholder.svg";"Heidi Groover";"Catherine Olsson"
10;24;"For some Starbucks workers, job leaves bitter taste";"2014-09-25";"2019-05-31";"2020-06-13";"2019-04-12";"https://www.cbsnews.com/news/for-some-starbucks-workers-job-leaves-bitter-taste/";"cbsnews.com";"en";"https://cbsnews2.cbsistatic.com/hub/i/r/2014/09/25/aa2708c1-7e84-4573-8f79-add177a690cd/thumbnail/1200x630/2505bd91ab74f8e2ce3e7c6f8a5d77f3/starbucks.jpg";"Alain Sherter";"Catherine Olsson"
10;25;"After A Wave Of Bad Press, This Controversial Software Company Is Making Changes";"2015-06-02";"2019-05-31";"2022-09-07";"2022-09-07";"https://www.buzzfeednews.com/article/carolineodonovan/kronos-makes-changes-to-software-accused-of-producing-bad-sc";"buzzfeednews.com";"en";"https://img.buzzfeed.com/buzzfeed-static/static/2015-06/2/17/campaign_images/webdr02/kronos-makes-changes-to-software-accused-of-produ-2-14421-1433279634-2_dblbig.jpg";"Caroline O'Donovan";"Catherine Olsson"
280;1873;"Coffee Meets Bagel: The Online Dating Site That Helps You Weed Out the Creeps";"2013-07-29";"2022-08-09";"2022-08-09";"2022-08-09";"https://www.laweekly.com/coffee-meets-bagel-the-online-dating-site-that-helps-you-weed-out-the-creeps/";"laweekly.com";"en";"https://www.laweekly.com/wp-content/uploads/2019/05/img_3073.jpg";"Amanda Lewis";"Khoa Lam"
10;17;"Kronos shift scheduling software a grind for Starbucks worker";"2015-08-26";"2019-05-31";"2020-06-13";"2019-04-12";"https://searchhrsoftware.techtarget.com/news/4500252451/Kronos-shift-scheduling-software-a-grind-for-Starbucks-worker";"searchhrsoftware.techtarget.com";"en";"https://cdn.ttgtmedia.com/visuals/searchFinancialApplications/hr_technology/financialapplications_article_004.jpg";"News Writer";"Catherine Olsson"
10;20;"Starbucks vows to do more to ease barista schedules";"2015-09-23";"2019-05-31";"2020-06-13";"2019-04-12";"https://money.cnn.com/2015/09/24/news/companies/starbucks-schedules/index.html";"money.cnn.com";"en";"https://i2.cdn.turner.com/money/dam/assets/150924110035-starbucks-barista-780x439.jpg";"Aaron Smith";"Catherine Olsson"
10;21;"THE GRIND: Striving for Scheduling Fairness at Starbucks";"2015-08-31";"2019-05-31";"2020-06-13";"2019-04-12";"http://populardemocracy.org/sites/default/files/The%2BGrind.pdf";"populardemocracy.org";"en";"placeholder.svg";"Aditi Sen,Carrie Gleason";"Catherine Olsson"